,City name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Ushuaia,99,AR,1571096203,56,-54.81,-68.31,44.6,11.8
1,Kapaa,90,US,1571096203,74,22.08,-159.32,86.0,6.2
2,Mocuba,0,MZ,1571096204,96,-16.84,36.99,68.0,1.309
3,Rio Gallegos,0,AR,1571096218,44,-51.62,-69.22,59.0,1.5
4,Mataura,49,NZ,1571096238,65,-46.19,168.86,62.00600000000003,0.45
5,Hermanus,60,ZA,1571096429,90,-34.42,19.24,62.00600000000003,0.89
6,Pitimbu,75,BR,1571096430,100,-7.47,-34.81,73.4,3.6
7,Ginda,0,IN,1571096430,79,30.69,78.49,51.026000000000096,2.187
8,Roseburg,1,US,1571096431,51,43.22,-123.34,64.99400000000009,3.6
9,Atuona,60,PF,1571096431,75,-9.8,-139.03,80.07800000000006,8.638
10,Riyadh,0,SA,1571096433,47,24.63,46.72,78.80000000000001,1.0
11,Narsaq,5,GL,1571096434,63,60.91,-46.05,30.2,1.0
12,Carman,90,CA,1571096434,100,49.51,-98.0,39.992,2.6
13,Avarua,85,CK,1571096437,69,-21.21,-159.78,77.0,5.7
14,Busselton,21,AU,1571096438,57,-33.64,115.35,53.99600000000005,4.85
15,Ponta do Sol,71,BR,1571096439,51,-20.63,-46.0,75.75800000000001,1.938
16,Khatanga,94,RU,1571096440,97,71.98,102.47,24.890000000000022,2.651
17,Wanning,75,AT,1571096440,100,48.64,13.53,55.004000000000055,0.5
18,Cranbrook,40,CA,1571096440,32,49.51,-115.76,53.6,2.1
19,Sorland,100,NO,1571096441,64,67.67,12.69,45.35600000000003,5.182
20,Chunskiy,93,RU,1571096442,71,56.08,99.63,35.582000000000015,1.789
21,Ancud,46,CL,1571096442,41,-41.87,-73.83,57.2,2.6
22,Kodiak,1,US,1571096442,52,39.95,-94.76,69.80000000000001,5.1
23,Port Hawkesbury,90,CA,1571096443,100,45.62,-61.36,50.0,4.6
24,Port Hardy,90,CA,1571096443,87,50.7,-127.42,48.2,7.2
